Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable,Number of returns,Adjust gross income,Total income amount,Salaries and wages amount,State and local income taxes amount,Real estate taxes amount,Total taxes paid amount,Residential energy tax credit amount,Population served,Water systems,Cities served,Water system per capita
Mississippi Leflo,Mississippi,Leflore County,139,30500,0.935251799,0.064748201,0,52.4,33.8,0.731516457,11410,506477,512902,326184,3903,1750,4584,140,28757,5,16,1797.3125
Mississippi Linco,Mississippi,Lincoln County,391,34690,0.823529412,0.176470588,0,51.3,24,0.731516457,13610,711706,719677,527190,4789,1780,5535,71,32497,1,8,4062.125
Mississippi Lownd,Mississippi,Lowndes County,245,59785,0.987755102,0.012244898,1,93.6,0,0.731516457,24850,1245700,1259081,913539,10279,3580,10450,246,63928,1,15,4261.866667
Mississippi Madis,Mississippi,Madison County,322,101790,0.913043478,0.086956522,0,35.1,8.8,0.731516457,49310,4349629,4422646,2861806,80088,31240,67098,283,119013,3,17,7000.764706
Mississippi Mario,Mississippi,Marion County,211,25810,0.857819905,0.142180095,0,31,0,0.731516457,9430,443660,448555,323988,2834,1373,3718,75,23756,1,12,1979.666667
Mississippi Marsh,Mississippi,Marshall County,259,36195,0.895752896,0.104247104,0,56.5,0,0.731516457,15240,613728,620988,494989,2768,1708,5169,162,19571,3,11,1779.181818
Mississippi Monro,Mississippi,Monroe County,293,36030,0.976109215,0.023890785,0,93,0,0.731516457,14440,662073,668360,497158,4045,1184,4024,66,39632,1,13,3048.615385
Mississippi Montg,Mississippi,Montgomery County,189,10355,0.920634921,0.079365079,0,19.6,0,0.731516457,4120,174912,176742,129708,742,301,1074,25,13215,1,17,777.3529412
Mississippi Nesho,Mississippi,Neshoba County,196,29475,0.969387755,0.030612245,0,37,0,0.731516457,11790,515434,520746,395541,2835,854,3016,62,24641,1,6,4106.833333
Mississippi Newto,Mississippi,Newton County,244,21650,0.967213115,0.032786885,0,54.4,0,0.731516457,8720,399855,403234,304657,1613,665,2269,35,22055,1,11,2005
Mississippi Noxub,Mississippi,Noxubee County,193,11100,0.937823834,0.062176166,0,26,0,0.731516457,4490,145460,147847,111559,754,262,1078,33,10351,1,9,1150.111111
Mississippi Oktib,Mississippi,Oktibbeha County,230,49425,0.947826087,0.052173913,0,28.8,0,0.731516457,18130,993047,1004938,683258,8618,4593,10415,90,67443,1,24,2810.125
Mississippi Panol,Mississippi,Panola County,243,34320,0.913580247,0.086419753,0,35,6.2,0.731516457,14320,601847,609095,435826,3303,1392,4356,133,36095,2,29,1244.655172
Mississippi Pearl,Mississippi,Pearl River County,234,55165,0.897435897,0.102564103,0,41.9,39.6,0.731516457,21540,1054054,1064305,786185,4482,2166,6459,158,47776,2,15,3185.066667
Mississippi Perry,Mississippi,Perry County,166,12175,0.987951807,0.012048193,0,23.3,0,0.731516457,4600,199869,201590,160145,638,270,1038,81,10232,0,12,852.6666667
Mississippi Ponto,Mississippi,Pontotoc County,170,30860,0.894117647,0.105882353,0,1.9,0,0.731516457,12930,583948,589873,460093,2290,807,2862,33,34556,1,12,2879.666667
Mississippi Prent,Mississippi,Prentiss County,210,25340,0.895238095,0.104761905,0,19.7,0,0.731516457,9620,403408,407736,305342,1437,651,2062,0,30725,0,12,2560.416667
Mississippi Quitm,Mississippi,Quitman County,112,7635,0.8125,0.1875,0,28.4,28.4,0.731516457,2630,81157,82039,62574,372,124,624,47,7156,1,12,596.3333333
Mississippi Ranki,Mississippi,Rankin County,374,147930,0.983957219,0.016042781,1,60.4,0,0.731516457,66400,4215313,4264139,3089070,37521,16222,44562,265,178170,4,37,4815.405405
Mississippi Scott,Mississippi,Scott County,207,28270,0.971014493,0.028985507,0,25,0,0.731516457,11200,452569,456990,373597,2034,801,2803,38,37660,2,14,2690
Mississippi Shark,Mississippi,Sharkey County,65,4660,0.846153846,0.153846154,0,\N,\N,0.731516457,1760,67171,68358,44283,285,110,457,0,4264,1,5,852.8
Mississippi Simps,Mississippi,Simpson County,208,27280,0.918269231,0.081730769,0,32,0,0.731516457,10340,463650,468565,343693,2234,759,2923,33,34770,2,16,2173.125
Mississippi Smith,Mississippi,Smith County,181,16135,0.889502762,0.110497238,0,12.9,0,0.731516457,5870,279953,282857,217535,1378,333,1445,0,12475,1,13,959.6153846
Mississippi Stone,Mississippi,Stone County,119,17995,0.899159664,0.100840336,0,17.2,0,0.731516457,6850,319297,322371,242474,1633,659,1850,32,14371,3,11,1306.454545
Mississippi Sunfl,Mississippi,Sunflower County,172,27425,0.674418605,0.325581395,0,19.2,0,0.731516457,9100,350779,355015,246805,2280,886,2816,57,28425,2,14,2030.357143
Mississippi Talla,Mississippi,Tallahatchie County,158,14775,0.708860759,0.291139241,0,43.6,22.3,0.731516457,4730,170689,173264,122462,1126,324,1073,36,16719,1,16,1044.9375
Mississippi Tippa,Mississippi,Tippah County,157,22060,0.853503185,0.146496815,0,19.7,0,0.731516457,8810,375433,379014,286130,1555,538,1625,0,25002,1,12,2083.5
Mississippi Tisho,Mississippi,Tishomingo County,152,19505,0.894736842,0.105263158,0,67,0,0.731516457,7360,339708,342690,253558,1063,311,1371,0,23935,1,11,2175.909091
Mississippi Tunic,Mississippi,Tunica County,79,10405,0.911392405,0.088607595,0,16.6,16.6,0.731516457,4280,143135,145021,109690,811,445,1215,50,11933,0,3,3977.666667
Mississippi Union,Mississippi,Union County,207,27990,0.975845411,0.024154589,0,32.7,0,0.731516457,11550,542769,550167,414961,3033,1179,3491,0,28448,1,13,2188.307692
Mississippi Walth,Mississippi,Walthall County,167,14810,0.886227545,0.113772455,0,\N,\N,0.731516457,5520,234685,237641,170189,980,470,1559,49,15989,0,7,2284.142857
Mississippi Warre,Mississippi,Warren County,173,47835,0.976878613,0.023121387,0,41,0,0.731516457,20000,1055680,1066892,741155,7276,3480,10268,142,55913,1,7,7987.571429
Mississippi Washi,Mississippi,Washington County,334,48825,0.841317365,0.158682635,1,33.1,0,0.731516457,18550,766694,776461,522878,4701,2472,7018,154,49563,5,16,3097.6875
Mississippi Wayne,Mississippi,Wayne County,214,20515,0.943925234,0.056074766,0,13.1,0,0.731516457,8110,352975,357256,280913,2209,742,2902,273,20358,1,7,2908.285714
Mississippi Webst,Mississippi,Webster County,184,9920,0.885869565,0.114130435,0,\N,\N,0.731516457,3890,180081,182255,136492,635,257,915,0,12142,1,12,1011.833333
Mississippi Wilki,Mississippi,Wilkinson County,113,9235,0.690265487,0.309734513,0,\N,\N,0.731516457,3300,129812,131056,100298,1058,310,2837,0,12252,0,9,1361.333333
Mississippi Winst,Mississippi,Winston County,181,18520,0.961325967,0.038674033,0,22.1,0,0.731516457,7320,331122,334569,250766,2027,593,2032,52,20744,1,11,1885.818182
Mississippi Yalob,Mississippi,Yalobusha County,163,12380,0.920245399,0.079754601,0,21.1,0,0.731516457,5210,205794,208050,153850,663,338,1148,31,14398,1,20,719.9
Mississippi Yazoo,Mississippi,Yazoo County,281,27720,0.839857651,0.160142349,0,44.3,34.4,0.731516457,9240,388619,393124,281772,2210,1027,3173,119,29131,1,18,1618.388889
Missouri Adair,Missouri,Adair County,299,25545,0.909698997,0.090301003,1,10.3,10.3,0.753229107,9830,468128,475765,314776,2542,869,2605,106,25642,4,4,6410.5
Missouri Andre,Missouri,Andrew County,168,17345,0.827380952,0.172619048,0,10.4,0,0.753229107,8450,500525,506328,376008,3213,1131,2881,112,87397,9,11,7945.181818
Missouri Atchi,Missouri,Atchison County,191,5380,0.890052356,0.109947644,0,24.9,0,0.753229107,2460,134783,138082,82373,477,154,584,0,4482,5,6,747
Missouri Audra,Missouri,Audrain County,311,25870,0.961414791,0.038585209,0,77.8,0,0.753229107,10340,482879,490291,327941,1655,658,1883,74,25729,8,8,3216.125
Missouri Barry,Missouri,Barry County,162,35715,0.925925926,0.074074074,0,39.2,0,0.753229107,14660,693239,700395,466546,5833,1033,3358,116,27070,31,86,314.7674419
Missouri Barto,Missouri,Barton County,207,12075,0.946859903,0.053140097,0,70.2,0,0.753229107,5040,228202,232896,148914,1431,309,1047,0,15770,3,5,3154
Missouri Bates,Missouri,Bates County,318,16515,0.921383648,0.078616352,0,67.6,0,0.753229107,7080,336396,341749,242465,1211,432,1413,0,18196,8,15,1213.066667
Missouri Bento,Missouri,Benton County,135,18825,0.903703704,0.096296296,0,\N,\N,0.753229107,8230,340853,345541,207126,882,438,1368,0,13575,21,87,156.0344828
Missouri Bolli,Missouri,Bollinger County,125,12280,0.856,0.144,0,\N,\N,0.753229107,4790,199771,202075,150708,282,112,463,0,4136,4,14,295.4285714
Missouri Boone,Missouri,Boone County,338,172775,0.949704142,0.050295858,1,39.7,0,0.753229107,78880,5307617,5371322,3643009,54803,23743,47084,651,196484,12,13,15114.15385
Missouri Bucha,Missouri,Buchanan County,250,89415,0.9,0.1,0,42.1,0,0.753229107,38480,2040915,2059277,1488053,15446,3879,11706,252,73804,4,6,12300.66667
Missouri Butle,Missouri,Butler County,234,42885,0.944444444,0.055555556,0,46,35.2,0.753229107,17370,777447,791238,538351,5175,1356,4334,75,34880,8,16,2180
Missouri Caldw,Missouri,Caldwell County,207,9055,0.879227053,0.120772947,0,41.3,0,0.753229107,3890,185329,187676,140890,709,210,737,0,19019,7,10,1901.9
Missouri Calla,Missouri,Callaway County,304,44695,0.934210526,0.065789474,0,15.8,0,0.753229107,19700,1014124,1025123,724339,4341,1643,4719,337,39629,9,15,2641.933333
Missouri Camde,Missouri,Camden County,93,44150,0.913978495,0.086021505,0,4.5,0,0.753229107,20660,1191363,1209543,653387,11523,4697,10160,189,50323,32,243,207.090535
Missouri Cape ,Missouri,Cape Girardeau County,370,78090,0.964864865,0.035135135,0,49.1,5.5,0.753229107,35140,2186875,2219309,1465118,23190,6101,16739,153,\N,\N,\N,\N
Missouri Carro,Missouri,Carroll County,378,9010,0.80952381,0.19047619,0,96.3,31.1,0.753229107,3970,194316,198270,127389,513,171,664,0,8312,7,8,1039
Missouri Carte,Missouri,Carter County,47,6250,0.936170213,0.063829787,0,\N,\N,0.753229107,2310,84245,85593,63604,302,101,422,0,3344,6,9,371.5555556
Missouri Cedar,Missouri,Cedar County,112,13930,0.8125,0.1875,0,\N,\N,0.753229107,5520,219381,222204,149419,687,211,806,75,18307,14,29,631.2758621
Missouri Chari,Missouri,Chariton County,288,7615,0.895833333,0.104166667,0,56.6,21.5,0.753229107,3380,169291,173318,109272,421,154,554,0,4239,5,5,847.8
Missouri Chris,Missouri,Christian County,114,82055,0.929824561,0.070175439,0,7.9,0,0.753229107,38990,2385417,2417048,1718755,21641,7940,19995,754,54211,21,42,1290.738095
Missouri Clark,Missouri,Clark County,180,6860,0.927777778,0.072222222,0,31.1,20.6,0.753229107,2850,125375,127155,95910,299,110,425,0,10065,4,4,2516.25
Missouri Clint,Missouri,Clinton County,152,20495,0.940789474,0.059210526,0,\N,\N,0.753229107,9690,546055,551560,411289,2896,1333,3791,88,498790,8,9,55421.11111
Missouri Coope,Missouri,Cooper County,192,17615,0.911458333,0.088541667,0,39.4,6.5,0.753229107,7620,359073,364848,266772,1073,472,1622,0,13389,8,8,1673.625
Missouri Crawf,Missouri,Crawford County,120,24545,0.95,0.05,0,26.1,0,0.753229107,10220,453880,458437,325834,2369,562,1912,0,19553,9,35,558.6571429
Missouri Dalla,Missouri,Dallas County,113,16510,0.96460177,0.03539823,0,\N,\N,0.753229107,6850,272059,275791,194820,676,195,769,79,5096,6,19,268.2105263
Missouri Davie,Missouri,Daviess County,230,8255,0.77826087,0.22173913,0,10.5,0,0.753229107,3510,156322,158930,104690,560,297,777,0,13258,9,11,1205.272727
Missouri DeKal,Missouri,DeKalb County,238,12705,0.945378151,0.054621849,0,\N,\N,0.753229107,4210,202511,204682,154673,600,182,726,0,84778,6,8,10597.25
Missouri Dougl,Missouri,Douglas County,74,13465,0.932432432,0.067567568,0,\N,\N,0.753229107,5070,177507,179852,129246,505,130,643,0,3797,4,10,379.7
Missouri Dunkl,Missouri,Dunklin County,218,31270,0.944954128,0.055045872,0,17.7,0,0.753229107,10710,455498,461411,325434,2031,487,1987,0,38625,12,14,2758.928571
Missouri Frank,Missouri,Franklin County,333,102065,0.924924925,0.075075075,0,102.1,39.5,0.753229107,50610,3021034,3054523,2106680,24477,9644,20541,400,67594,10,77,877.8441558
Missouri Gasco,Missouri,Gasconade County,137,14875,0.941605839,0.058394161,0,15.6,15.6,0.753229107,7150,327956,332391,230479,1509,506,1588,0,7551,8,18,419.5
Missouri Gentr,Missouri,Gentry County,241,6745,0.908713693,0.091286307,0,\N,\N,0.753229107,2760,125368,127377,88105,287,127,393,0,6788,5,6,1131.333333
Missouri Green,Missouri,Greene County,464,285450,0.952586207,0.047413793,1,87.9,0,0.753229107,133770,7901426,8006517,5263303,94172,25171,56850,1082,224736,31,84,2675.428571
Missouri Grund,Missouri,Grundy County,190,10230,0.852631579,0.147368421,0,39,0,0.753229107,4030,172827,175690,118678,468,173,558,0,10458,5,5,2091.6
Missouri Harri,Missouri,Harrison County,346,8650,0.846820809,0.153179191,0,\N,\N,0.753229107,3630,137781,140084,98904,246,127,393,0,12547,7,8,1568.375
Missouri Henry,Missouri,Henry County,260,21930,0.926923077,0.073076923,0,25.7,0,0.753229107,9680,455199,462130,307044,2206,652,1906,0,20853,10,13,1604.076923
Missouri Hicko,Missouri,Hickory County,57,9265,0.842105263,0.157894737,0,\N,\N,0.753229107,3630,131819,133647,83192,219,93,344,0,7442,21,45,165.3777778
Missouri Howar,Missouri,Howard County,140,10150,0.907142857,0.092857143,0,14.1,0,0.753229107,4350,206799,210243,146978,1020,329,957,0,8215,5,6,1369.166667
Missouri Howel,Missouri,Howell County,188,40265,0.984042553,0.015957447,0,39.8,0,0.753229107,16190,721518,730988,497252,4892,948,3225,145,23846,9,17,1402.705882
Missouri Jacks,Missouri,Jackson County,911,683645,0.940724479,0.059275521,0,186.4,52.6,0.753229107,332910,20388787,20610421,14657896,241260,109129,213552,2241,860310,16,24,35846.25
Missouri Jaspe,Missouri,Jasper County,462,117375,0.917748918,0.082251082,1,79.7,0,0.753229107,51880,2719925,2744903,1909680,25186,4838,15022,1196,119417,22,41,2912.609756
Missouri Jeffe,Missouri,Jefferson County,393,222455,0.93129771,0.06870229,0,71.2,30.6,0.753229107,107250,6204442,6262204,4788363,38119,19830,48725,543,184137,12,98,1878.94898
Missouri Johns,Missouri,Johnson County,477,54230,0.955974843,0.044025157,0,35.5,35.5,0.753229107,22570,1193391,1205099,873794,5810,2525,6773,337,64657,12,17,3803.352941
Missouri Lacle,Missouri,Laclede County,119,35505,0.915966387,0.084033613,0,34.9,0,0.753229107,15450,655191,662881,486796,3410,888,2907,49,31930,6,17,1878.235294
Missouri Lafay,Missouri,Lafayette County,246,32790,0.93495935,0.06504065,0,73.6,0,0.753229107,14960,775044,786009,563251,3434,1310,4141,150,35329,11,15,2355.266667
Missouri Lawre,Missouri,Lawrence County,231,38205,0.943722944,0.056277056,0,54.8,0,0.753229107,16120,723280,730574,542426,3520,938,3305,363,20271,13,32,633.46875
Missouri Lewis,Missouri,Lewis County,167,10145,0.910179641,0.089820359,0,21.8,0,0.753229107,4100,192949,195547,147651,461,153,530,0,6407,5,5,1281.4
Missouri Linco,Missouri,Lincoln County,181,54285,0.950276243,0.049723757,0,21.1,0,0.753229107,26970,1510362,1525082,1171783,7333,3544,9688,266,34409,9,47,732.106383
Missouri Livin,Missouri,Livingston County,189,15055,0.814814815,0.185185185,0,49.6,0,0.753229107,6300,309597,315241,200792,1879,577,1614,0,18326,8,8,2290.75
Missouri McDon,Missouri,McDonald County,141,22720,0.886524823,0.113475177,0,21.1,0,0.753229107,9100,368694,372414,305346,1759,329,1706,129,13804,9,26,530.9230769
Missouri Macon,Missouri,Macon County,290,15400,0.951724138,0.048275862,0,69.9,26.6,0.753229107,7060,311161,315475,211847,906,308,1073,71,20034,7,7,2862
Missouri Madis,Missouri,Madison County,117,12405,0.871794872,0.128205128,0,\N,\N,0.753229107,5030,220735,223085,158546,869,188,751,0,6368,4,6,1061.333333
Missouri Marie,Missouri,Maries County,69,8985,0.927536232,0.072463768,0,\N,\N,0.753229107,3790,156846,158594,122566,421,166,562,0,4489,4,13,345.3076923
Missouri Mario,Missouri,Marion County,189,28860,0.894179894,0.105820106,0,52.9,0,0.753229107,12690,673069,681254,476361,4744,1271,3318,76,26411,3,3,8803.666667
Missouri Merce,Missouri,Mercer County,144,3700,0.722222222,0.277777778,\N,23.6,0,0.753229107,1510,55174,56087,44177,0,40,136,0,4679,3,3,1559.666667
Missouri Mille,Missouri,Miller County,137,25010,0.919708029,0.080291971,0,\N,\N,0.753229107,10760,476689,483088,339955,2464,919,2198,74,13382,12,51,262.3921569
Missouri Missi,Missouri,Mississippi County,98,14110,0.867346939,0.132653061,0,\N,\N,0.753229107,4770,212438,216223,138852,1050,203,966,0,12841,5,6,2140.166667
Missouri Monit,Missouri,Moniteau County,94,15840,0.882978723,0.117021277,0,38.3,24.6,0.753229107,6740,319393,324238,223845,1032,377,1189,0,10413,7,12,867.75
Missouri Monro,Missouri,Monroe County,177,8640,0.881355932,0.118644068,0,45.4,0,0.753229107,3900,177699,180662,119942,295,156,489,0,10949,4,5,2189.8
Missouri Montg,Missouri,Montgomery County,167,11820,0.910179641,0.089820359,0,26.8,0,0.753229107,5130,239899,243702,168418,812,373,1112,0,18831,11,23,818.7391304
Missouri Morga,Missouri,Morgan County,106,20180,0.867924528,0.132075472,0,6.6,6.6,0.753229107,8580,365833,371088,217960,1252,694,1723,65,13780,6,73,188.7671233
Missouri New M,Missouri,New Madrid County,285,18230,0.90877193,0.09122807,0,64.4,0,0.753229107,6820,312261,316568,208207,1518,282,1237,0,16408,13,15,1093.866667
Missouri Newto,Missouri,Newton County,295,58740,0.959322034,0.040677966,0,61.2,0,0.753229107,24690,1324452,1341042,955087,12280,3280,9669,724,23475,23,44,533.5227273
Missouri Nodaw,Missouri,Nodaway County,399,23025,0.864661654,0.135338346,0,\N,\N,0.753229107,8480,426804,434417,288317,1817,740,2058,0,21347,10,12,1778.916667
Missouri Orego,Missouri,Oregon County,84,10920,0.964285714,0.035714286,0,14.3,0,0.753229107,3830,139404,141206,98850,556,73,444,0,4626,6,7,660.8571429
Missouri Osage,Missouri,Osage County,100,13705,0.77,0.23,0,23.7,23.7,0.753229107,6220,318882,323896,237685,1175,297,1153,222,8574,13,17,504.3529412
Missouri Ozark,Missouri,Ozark County,83,9450,0.939759036,0.060240964,0,\N,\N,0.753229107,3660,128594,130248,87170,383,100,428,0,4330,8,26,166.5384615
Missouri Pemis,Missouri,Pemiscot County,211,17600,0.867298578,0.132701422,0,32.7,0,0.753229107,6020,254043,257780,182965,1308,338,1455,0,18050,6,7,2578.571429
Missouri Perry,Missouri,Perry County,119,19150,0.899159664,0.100840336,0,35.3,0,0.753229107,9000,461434,467912,335804,1850,546,1701,88,13954,8,14,996.7142857
Missouri Petti,Missouri,Pettis County,238,42195,0.894957983,0.105042017,0,25.4,25.4,0.753229107,18640,854262,865801,613611,3488,1268,3560,85,30468,14,33,923.2727273
Missouri Phelp,Missouri,Phelps County,156,44835,0.942307692,0.057692308,0,40.9,0,0.753229107,18050,916636,927658,638393,6071,1632,5176,90,29296,13,28,1046.285714
Missouri Platt,Missouri,Platte County,290,94970,0.955172414,0.044827586,1,39.4,0,0.753229107,50390,4460524,4508996,3130192,69653,28179,52972,616,521107,18,20,26055.35
Missouri Pulas,Missouri,Pulaski County,106,53300,0.896226415,0.103773585,0,42.4,0,0.753229107,18590,862696,870290,684828,2241,1058,3224,100,65623,12,22,2982.863636
Missouri Putna,Missouri,Putnam County,213,4875,0.868544601,0.131455399,0,14.8,0,0.753229107,2000,80514,81944,54812,187,118,330,0,5447,3,3,1815.666667
Missouri Ralls,Missouri,Ralls County,140,10225,0.885714286,0.114285714,0,27.8,0,0.753229107,4670,253453,256964,178464,847,273,963,91,14906,3,4,3726.5
Missouri Rando,Missouri,Randolph County,163,25080,0.969325153,0.030674847,0,59.1,0,0.753229107,10390,497939,503688,352657,2195,891,2247,95,25104,6,6,4184
Missouri Reyno,Missouri,Reynolds County,89,6530,0.97752809,0.02247191,0,\N,\N,0.753229107,2460,94495,95418,73625,197,50,253,0,5481,15,29,189
Missouri Riple,Missouri,Ripley County,116,13935,0.974137931,0.025862069,0,\N,\N,0.753229107,4840,171629,173795,130243,383,86,457,0,8629,5,8,1078.625
Missouri Ste. ,Missouri,Ste. Genevieve County,104,17935,0.961538462,0.038461538,0,32.7,0,0.753229107,8360,490381,495039,346684,2572,743,2328,63,\N,\N,\N,\N
Missouri St. F,Missouri,St. Francois County,163,66230,0.901840491,0.098159509,0,40.1,15,0.753229107,26350,1247824,1259436,901749,6622,1962,6047,87,55883,14,42,1330.547619
Missouri Salin,Missouri,Saline County,232,23215,0.86637931,0.13362069,0,72.1,0,0.753229107,9690,457406,463940,310503,2154,531,1575,0,28897,12,13,2222.846154
Missouri Schuy,Missouri,Schuyler County,122,4395,0.918032787,0.081967213,0,\N,\N,0.753229107,1740,61332,62324,48564,131,44,195,0,4740,4,4,1185
Missouri Scotl,Missouri,Scotland County,198,4895,0.914141414,0.085858586,0,10.1,10.1,0.753229107,2010,82322,84455,50657,338,85,342,0,5182,2,2,2591
Missouri Scott,Missouri,Scott County,185,38995,0.92972973,0.07027027,1,47,0,0.753229107,16960,875750,888401,579336,4909,1165,3448,0,33754,12,19,1776.526316
Missouri Shann,Missouri,Shannon County,61,8255,0.983606557,0.016393443,0,\N,\N,0.753229107,3070,108448,110014,78438,283,32,268,0,6319,10,19,332.5789474
Missouri Shelb,Missouri,Shelby County,109,6150,0.798165138,0.201834862,0,24.5,0,0.753229107,2830,125425,128159,83592,329,105,462,0,6440,5,5,1288
Missouri Stodd,Missouri,Stoddard County,438,29790,0.926940639,0.073059361,0,52.8,0,0.753229107,12160,612372,621447,403934,4750,886,2920,0,24818,17,19,1306.210526
Missouri Stone,Missouri,Stone County,63,31195,0.904761905,0.095238095,0,26.2,0,0.753229107,14340,759199,768792,425860,5410,2257,5601,201,43312,44,222,195.0990991
Missouri Sulli,Missouri,Sullivan County,224,6415,0.888392857,0.111607143,0,18.5,0,0.753229107,2660,101727,103374,84050,197,46,264,0,8739,6,8,1092.375
Missouri Taney,Missouri,Taney County,146,53855,0.95890411,0.04109589,0,18.5,0,0.753229107,25920,1068324,1081951,734097,9036,3218,8197,238,66971,29,110,608.8272727
Missouri Texas,Missouri,Texas County,161,25690,0.968944099,0.031055901,0,17.6,0,0.753229107,9240,352692,357010,257839,1031,264,1217,67,15835,12,14,1131.071429
Missouri Verno,Missouri,Vernon County,392,20835,0.943877551,0.056122449,0,95,0,0.753229107,8310,352818,357952,253921,1155,343,1284,46,22620,9,9,2513.333333
Missouri Warre,Missouri,Warren County,149,33290,0.946308725,0.053691275,0,18.1,0,0.753229107,16560,968122,978105,695694,5795,2876,7121,172,24743,5,26,951.6538462
Missouri Washi,Missouri,Washington County,152,25000,0.907894737,0.092105263,0,46.4,19.5,0.753229107,8810,344246,346691,276278,826,296,1070,0,11643,6,34,342.4411765
Missouri Wayne,Missouri,Wayne County,195,13340,0.923076923,0.076923077,0,32.3,32.3,0.753229107,4520,158394,159892,120526,420,88,427,0,10254,13,30,341.8
Missouri Webst,Missouri,Webster County,176,37075,0.926136364,0.073863636,0,48.9,0,0.753229107,15580,756715,765581,548471,3686,947,3517,91,16633,11,24,693.0416667
Missouri Worth,Missouri,Worth County,83,2060,0.891566265,0.108433735,0,\N,\N,0.753229107,900,34367,35103,24347,0,0,0,0,2415,4,4,603.75
Missouri Wrigh,Missouri,Wright County,126,18380,0.920634921,0.079365079,0,27.7,0,0.753229107,7070,263404,266949,194201,965,219,918,0,8425,7,11,765.9090909
Montana Beave,Montana,Beaverhead County,234,9315,0.867521368,0.132478632,0,86.5,0,0.880305656,4420,251312,255667,142319,1952,869,2109,0,9617,51,51,188.5686275
Montana Big H,Montana,Big Horn County,138,13215,0.956521739,0.043478261,0,114,0,0.880305656,4220,172117,174219,133425,508,165,593,0,11420,29,29,393.7931034
Montana Blain,Montana,Blaine County,108,6610,0.944444444,0.055555556,0,55.8,55.8,0.880305656,2510,99036,100528,78639,330,102,403,0,2625,11,11,238.6363636
Montana Broad,Montana,Broadwater County,28,5690,0.928571429,0.071428571,0,42.2,0,0.880305656,2810,160296,162863,104262,997,567,1315,0,8725,17,17,513.2352941
Montana Carbo,Montana,Carbon County,82,10340,0.914634146,0.085365854,0,50.5,0,0.880305656,5130,303535,310020,196011,3033,1478,3154,0,8942,32,32,279.4375
Montana Carte,Montana,Carter County,40,1295,0.975,0.025,0,\N,\N,0.880305656,580,29404,30700,13960,109,0,129,0,996,5,5,199.2
Montana Casca,Montana,Cascade County,188,82050,0.973404255,0.026595745,1,122.7,0,0.880305656,39540,2215990,2244054,1488134,22558,8836,18912,40,96830,95,95,1019.263158
Montana Chout,Montana,Chouteau County,45,5835,0.911111111,0.088888889,0,53,0,0.880305656,2170,108604,111035,62922,479,206,572,0,3376,11,11,306.9090909
Montana Custe,Montana,Custer County,75,11980,0.946666667,0.053333333,0,51.8,0,0.880305656,5360,289747,295242,194307,1693,738,1737,0,9864,13,13,758.7692308
Montana Danie,Montana,Daniels County,37,1785,0.918918919,0.081081081,0,27.1,0,0.880305656,820,46593,48635,27855,212,104,370,0,1108,2,2,554
Montana Dawso,Montana,Dawson County,113,9430,0.938053097,0.061946903,1,107.7,0,0.880305656,4080,237435,240658,176268,1435,665,1799,0,10853,29,29,374.2413793
Montana Deer ,Montana,Deer Lodge County,73,9175,0.890410959,0.109589041,0,25.7,0,0.880305656,4250,206147,208438,133507,922,510,1191,0,\N,\N,\N,\N
Montana Fallo,Montana,Fallon County,37,2915,0.945945946,0.054054054,0,38.3,0,0.880305656,1330,89118,90659,62577,431,70,410,0,2275,4,4,568.75
Montana Fergu,Montana,Fergus County,156,11430,0.897435897,0.102564103,0,78.9,25.2,0.880305656,5460,284533,290838,168007,1810,734,1779,0,10918,22,22,496.2727273
Montana Flath,Montana,Flathead County,201,94695,0.900497512,0.099502488,0,112.3,96.4,0.880305656,51840,3325518,3385437,1967795,55656,25813,44549,254,94189,319,323,291.6068111
Montana Galla,Montana,Gallatin County,211,97960,0.981042654,0.018957346,2,79.7,0,0.880305656,58890,4702295,4790582,2621741,94187,32662,59362,496,116612,185,186,626.9462366
Montana Garfi,Montana,Garfield County,29,1060,0.965517241,0.034482759,0,\N,\N,0.880305656,530,18209,19075,11581,0,0,0,0,766,5,5,153.2
Montana Glaci,Montana,Glacier County,74,13695,0.945945946,0.054054054,0,66.7,66.7,0.880305656,5100,191221,193529,145085,549,254,670,0,9697,27,28,346.3214286
Montana Golde,Montana,Golden Valley County,17,730,0.941176471,0.058823529,0,37.5,0,0.880305656,430,14481,14697,9533,0,0,0,0,499,4,4,124.75
Montana Grani,Montana,Granite County,74,3210,0.824324324,0.175675676,0,28.7,0,0.880305656,1460,80949,82367,47235,879,371,851,0,7854,21,22,357
Montana Jeffe,Montana,Jefferson County,129,11600,0.976744186,0.023255814,0,44.6,0,0.880305656,5750,400319,406679,259537,5102,2139,4996,0,9539,41,41,232.6585366
Montana Judit,Montana,Judith Basin County,45,1980,0.822222222,0.177777778,0,99.9,0,0.880305656,950,39692,41151,23630,151,0,145,0,1098,9,9,122
Montana Lewis,Montana,Lewis and Clark County,207,65990,0.927536232,0.072463768,1,81.7,0,0.880305656,34540,2207763,2239699,1429645,23536,11815,24666,257,65535,153,153,428.3333333
Montana Liber,Montana,Liberty County,10,2290,0.9,0.1,0,26.2,26.2,0.880305656,900,38923,39539,21730,149,0,179,0,1735,7,7,247.8571429
