Hash,State,County,Number of returns,Adjust gross income,Total income amount,Salaries and wages amount,State and local income taxes amount,Real estate taxes amount,Total taxes paid amount,Residential energy tax credit amount
Missouri Pulas,Missouri,Pulaski County,18590.0000,862696.0000,870290.0000,684828.0000,2241.0000,1058.0000,3224.0000,100.0000
Missouri Putna,Missouri,Putnam County,2000.0000,80514.0000,81944.0000,54812.0000,187.0000,118.0000,330.0000,0.0000
Missouri Ralls,Missouri,Ralls County,4670.0000,253453.0000,256964.0000,178464.0000,847.0000,273.0000,963.0000,91.0000
Missouri Rando,Missouri,Randolph County,10390.0000,497939.0000,503688.0000,352657.0000,2195.0000,891.0000,2247.0000,95.0000
Missouri Reyno,Missouri,Reynolds County,2460.0000,94495.0000,95418.0000,73625.0000,197.0000,50.0000,253.0000,0.0000
Missouri Riple,Missouri,Ripley County,4840.0000,171629.0000,173795.0000,130243.0000,383.0000,86.0000,457.0000,0.0000
Missouri Ste. ,Missouri,Ste. Genevieve County,8360.0000,490381.0000,495039.0000,346684.0000,2572.0000,743.0000,2328.0000,63.0000
Missouri St. F,Missouri,St. Francois County,26350.0000,1247824.0000,1259436.0000,901749.0000,6622.0000,1962.0000,6047.0000,87.0000
Missouri Salin,Missouri,Saline County,9690.0000,457406.0000,463940.0000,310503.0000,2154.0000,531.0000,1575.0000,0.0000
Missouri Schuy,Missouri,Schuyler County,1740.0000,61332.0000,62324.0000,48564.0000,131.0000,44.0000,195.0000,0.0000
Missouri Scotl,Missouri,Scotland County,2010.0000,82322.0000,84455.0000,50657.0000,338.0000,85.0000,342.0000,0.0000
Missouri Scott,Missouri,Scott County,16960.0000,875750.0000,888401.0000,579336.0000,4909.0000,1165.0000,3448.0000,0.0000
Missouri Shann,Missouri,Shannon County,3070.0000,108448.0000,110014.0000,78438.0000,283.0000,32.0000,268.0000,0.0000
Missouri Shelb,Missouri,Shelby County,2830.0000,125425.0000,128159.0000,83592.0000,329.0000,105.0000,462.0000,0.0000
Missouri Stodd,Missouri,Stoddard County,12160.0000,612372.0000,621447.0000,403934.0000,4750.0000,886.0000,2920.0000,0.0000
Missouri Stone,Missouri,Stone County,14340.0000,759199.0000,768792.0000,425860.0000,5410.0000,2257.0000,5601.0000,201.0000
Missouri Sulli,Missouri,Sullivan County,2660.0000,101727.0000,103374.0000,84050.0000,197.0000,46.0000,264.0000,0.0000
Missouri Taney,Missouri,Taney County,25920.0000,1068324.0000,1081951.0000,734097.0000,9036.0000,3218.0000,8197.0000,238.0000
Missouri Texas,Missouri,Texas County,9240.0000,352692.0000,357010.0000,257839.0000,1031.0000,264.0000,1217.0000,67.0000
Missouri Verno,Missouri,Vernon County,8310.0000,352818.0000,357952.0000,253921.0000,1155.0000,343.0000,1284.0000,46.0000
Missouri Warre,Missouri,Warren County,16560.0000,968122.0000,978105.0000,695694.0000,5795.0000,2876.0000,7121.0000,172.0000
Missouri Washi,Missouri,Washington County,8810.0000,344246.0000,346691.0000,276278.0000,826.0000,296.0000,1070.0000,0.0000
Missouri Wayne,Missouri,Wayne County,4520.0000,158394.0000,159892.0000,120526.0000,420.0000,88.0000,427.0000,0.0000
Missouri Webst,Missouri,Webster County,15580.0000,756715.0000,765581.0000,548471.0000,3686.0000,947.0000,3517.0000,91.0000
Missouri Worth,Missouri,Worth County,900.0000,34367.0000,35103.0000,24347.0000,0.0000,0.0000,0.0000,0.0000
Missouri Wrigh,Missouri,Wright County,7070.0000,263404.0000,266949.0000,194201.0000,965.0000,219.0000,918.0000,0.0000
Montana Beave,Montana,Beaverhead County,4420.0000,251312.0000,255667.0000,142319.0000,1952.0000,869.0000,2109.0000,0.0000
Montana Big H,Montana,Big Horn County,4220.0000,172117.0000,174219.0000,133425.0000,508.0000,165.0000,593.0000,0.0000
Montana Blain,Montana,Blaine County,2510.0000,99036.0000,100528.0000,78639.0000,330.0000,102.0000,403.0000,0.0000
Montana Broad,Montana,Broadwater County,2810.0000,160296.0000,162863.0000,104262.0000,997.0000,567.0000,1315.0000,0.0000
Montana Carbo,Montana,Carbon County,5130.0000,303535.0000,310020.0000,196011.0000,3033.0000,1478.0000,3154.0000,0.0000
Montana Carte,Montana,Carter County,580.0000,29404.0000,30700.0000,13960.0000,109.0000,0.0000,129.0000,0.0000
Montana Casca,Montana,Cascade County,39540.0000,2215990.0000,2244054.0000,1488134.0000,22558.0000,8836.0000,18912.0000,40.0000
Montana Chout,Montana,Chouteau County,2170.0000,108604.0000,111035.0000,62922.0000,479.0000,206.0000,572.0000,0.0000
Montana Custe,Montana,Custer County,5360.0000,289747.0000,295242.0000,194307.0000,1693.0000,738.0000,1737.0000,0.0000
Montana Danie,Montana,Daniels County,820.0000,46593.0000,48635.0000,27855.0000,212.0000,104.0000,370.0000,0.0000
Montana Dawso,Montana,Dawson County,4080.0000,237435.0000,240658.0000,176268.0000,1435.0000,665.0000,1799.0000,0.0000
Montana Deer ,Montana,Deer Lodge County,4250.0000,206147.0000,208438.0000,133507.0000,922.0000,510.0000,1191.0000,0.0000
Montana Fallo,Montana,Fallon County,1330.0000,89118.0000,90659.0000,62577.0000,431.0000,70.0000,410.0000,0.0000
Montana Fergu,Montana,Fergus County,5460.0000,284533.0000,290838.0000,168007.0000,1810.0000,734.0000,1779.0000,0.0000
Montana Flath,Montana,Flathead County,51840.0000,3325518.0000,3385437.0000,1967795.0000,55656.0000,25813.0000,44549.0000,254.0000
Montana Galla,Montana,Gallatin County,58890.0000,4702295.0000,4790582.0000,2621741.0000,94187.0000,32662.0000,59362.0000,496.0000
Montana Garfi,Montana,Garfield County,530.0000,18209.0000,19075.0000,11581.0000,0.0000,0.0000,0.0000,0.0000
Montana Glaci,Montana,Glacier County,5100.0000,191221.0000,193529.0000,145085.0000,549.0000,254.0000,670.0000,0.0000
Montana Golde,Montana,Golden Valley County,430.0000,14481.0000,14697.0000,9533.0000,0.0000,0.0000,0.0000,0.0000
Montana Grani,Montana,Granite County,1460.0000,80949.0000,82367.0000,47235.0000,879.0000,371.0000,851.0000,0.0000
Montana Jeffe,Montana,Jefferson County,5750.0000,400319.0000,406679.0000,259537.0000,5102.0000,2139.0000,4996.0000,0.0000
Montana Judit,Montana,Judith Basin County,950.0000,39692.0000,41151.0000,23630.0000,151.0000,0.0000,145.0000,0.0000
Montana Lewis,Montana,Lewis and Clark County,34540.0000,2207763.0000,2239699.0000,1429645.0000,23536.0000,11815.0000,24666.0000,257.0000
Montana Liber,Montana,Liberty County,900.0000,38923.0000,39539.0000,21730.0000,149.0000,0.0000,179.0000,0.0000
Montana Linco,Montana,Lincoln County,8390.0000,396476.0000,402248.0000,236474.0000,2458.0000,1391.0000,3383.0000,43.0000
Montana McCon,Montana,McCone County,830.0000,28794.0000,29922.0000,22956.0000,76.0000,0.0000,121.0000,0.0000
Montana Madis,Montana,Madison County,4200.0000,277767.0000,284120.0000,132966.0000,3309.0000,1129.0000,2575.0000,0.0000
Montana Meagh,Montana,Meagher County,900.0000,38398.0000,39382.0000,22737.0000,115.0000,77.0000,206.0000,0.0000
Montana Miner,Montana,Mineral County,1990.0000,95495.0000,96617.0000,57783.0000,596.0000,271.0000,692.0000,0.0000
Montana Misso,Montana,Missoula County,58930.0000,3794726.0000,3858957.0000,2326841.0000,55428.0000,28345.0000,46852.0000,431.0000
Montana Musse,Montana,Musselshell County,2000.0000,93123.0000,94912.0000,63630.0000,647.0000,224.0000,661.0000,0.0000
Montana Petro,Montana,Petroleum County,210.0000,7763.0000,8081.0000,4788.0000,0.0000,0.0000,0.0000,0.0000
Montana Phill,Montana,Phillips County,1930.0000,76744.0000,78741.0000,52720.0000,273.0000,109.0000,400.0000,0.0000
Montana Ponde,Montana,Pondera County,2720.0000,117406.0000,119793.0000,75114.0000,503.0000,201.0000,600.0000,0.0000
Montana Powde,Montana,Powder River County,820.0000,36625.0000,38135.0000,20789.0000,0.0000,0.0000,109.0000,0.0000
Montana Powel,Montana,Powell County,2670.0000,135773.0000,138037.0000,80714.0000,790.0000,339.0000,771.0000,0.0000
Montana Prair,Montana,Prairie County,530.0000,24576.0000,25361.0000,15625.0000,0.0000,0.0000,75.0000,0.0000
Montana Raval,Montana,Ravalli County,20850.0000,1225607.0000,1246176.0000,668088.0000,16820.0000,6934.0000,13129.0000,235.0000
Montana Richl,Montana,Richland County,5620.0000,392556.0000,398451.0000,292067.0000,3788.0000,1060.0000,3500.0000,0.0000
Montana Roose,Montana,Roosevelt County,3890.0000,170383.0000,173587.0000,141085.0000,712.0000,228.0000,840.0000,0.0000
Montana Roseb,Montana,Rosebud County,3740.0000,206900.0000,208943.0000,156375.0000,693.0000,160.0000,811.0000,0.0000
Montana Sande,Montana,Sanders County,5200.0000,238042.0000,242000.0000,133245.0000,1671.0000,772.0000,1843.0000,0.0000
Montana Sheri,Montana,Sheridan County,1720.0000,93865.0000,96750.0000,58594.0000,449.0000,135.0000,518.0000,0.0000
Montana Silve,Montana,Silver Bow County,16450.0000,929478.0000,939114.0000,615576.0000,8142.0000,3236.0000,7139.0000,0.0000
Montana Still,Montana,Stillwater County,4510.0000,295609.0000,299701.0000,196659.0000,2279.0000,1001.0000,2676.0000,0.0000
Montana Sweet,Montana,Sweet Grass County,1780.0000,102474.0000,104672.0000,58485.0000,821.0000,310.0000,829.0000,0.0000
Montana Teton,Montana,Teton County,3010.0000,143240.0000,147270.0000,83126.0000,1093.0000,344.0000,1067.0000,0.0000
Montana Toole,Montana,Toole County,2060.0000,100957.0000,102453.0000,69430.0000,408.0000,194.0000,528.0000,0.0000
Montana Treas,Montana,Treasure County,340.0000,16980.0000,17298.0000,10961.0000,0.0000,0.0000,0.0000,0.0000
Montana Valle,Montana,Valley County,3580.0000,194693.0000,198720.0000,130348.0000,1465.0000,490.0000,1444.0000,0.0000
Montana Wheat,Montana,Wheatland County,830.0000,35259.0000,35972.0000,22020.0000,94.0000,0.0000,143.0000,0.0000
Montana Wibau,Montana,Wibaux County,430.0000,20605.0000,21007.0000,15133.0000,0.0000,0.0000,0.0000,0.0000
Montana Yello,Montana,Yellowstone County,78720.0000,5254965.0000,5326292.0000,3571253.0000,72838.0000,28515.0000,59026.0000,197.0000
Nebraska Adams,Nebraska,Adams County,14290.0000,856054.0000,870642.0000,568788.0000,4532.0000,2489.0000,5174.0000,18.0000
Nebraska Antel,Nebraska,Antelope County,2980.0000,149686.0000,155304.0000,96538.0000,348.0000,94.0000,407.0000,0.0000
Nebraska Arthu,Nebraska,Arthur County,200.0000,5224.0000,5491.0000,4684.0000,0.0000,0.0000,0.0000,0.0000
Nebraska Banne,Nebraska,Banner County,280.0000,12203.0000,12471.0000,9018.0000,0.0000,0.0000,0.0000,0.0000
Nebraska Blain,Nebraska,Blaine County,230.0000,-1001.0000,-678.0000,5675.0000,0.0000,0.0000,0.0000,0.0000
Nebraska Boone,Nebraska,Boone County,2560.0000,151089.0000,156607.0000,93134.0000,676.0000,156.0000,723.0000,0.0000
Nebraska Box B,Nebraska,Box Butte County,5080.0000,281222.0000,286338.0000,210432.0000,812.0000,390.0000,1126.0000,0.0000
Nebraska Brown,Nebraska,Brown County,1440.0000,56709.0000,58436.0000,43759.0000,114.0000,41.0000,200.0000,0.0000
Nebraska Buffa,Nebraska,Buffalo County,22360.0000,1474693.0000,1498820.0000,1008573.0000,9602.0000,5973.0000,11499.0000,127.0000
Nebraska Butle,Nebraska,Butler County,3920.0000,222523.0000,228310.0000,151399.0000,759.0000,299.0000,995.0000,0.0000
Nebraska Cedar,Nebraska,Cedar County,3950.0000,212590.0000,220575.0000,140140.0000,943.0000,328.0000,998.0000,0.0000
Nebraska Chase,Nebraska,Chase County,1740.0000,97224.0000,100916.0000,62552.0000,616.0000,163.0000,550.0000,0.0000
Nebraska Cherr,Nebraska,Cherry County,2750.0000,114722.0000,118953.0000,82513.0000,439.0000,122.0000,495.0000,0.0000
Nebraska Cheye,Nebraska,Cheyenne County,4450.0000,250236.0000,254681.0000,188788.0000,1382.0000,774.0000,1675.0000,0.0000
Nebraska Colfa,Nebraska,Colfax County,5000.0000,252190.0000,256834.0000,192928.0000,442.0000,199.0000,668.0000,0.0000
Nebraska Cumin,Nebraska,Cuming County,4380.0000,266936.0000,274537.0000,171139.0000,1255.0000,423.0000,1271.0000,0.0000
Nebraska Custe,Nebraska,Custer County,5140.0000,261772.0000,268429.0000,180321.0000,870.0000,350.0000,1146.0000,0.0000
Nebraska Dakot,Nebraska,Dakota County,10190.0000,488418.0000,492768.0000,401068.0000,1821.0000,944.0000,2259.0000,0.0000
Nebraska Dawes,Nebraska,Dawes County,3480.0000,161518.0000,164648.0000,119046.0000,746.0000,385.0000,1015.0000,0.0000
Nebraska Dawso,Nebraska,Dawson County,11510.0000,569189.0000,576565.0000,440949.0000,2165.0000,1072.0000,2920.0000,89.0000
Nebraska Deuel,Nebraska,Deuel County,800.0000,38448.0000,39301.0000,26285.0000,0.0000,0.0000,93.0000,0.0000
Nebraska Dixon,Nebraska,Dixon County,2700.0000,133536.0000,136669.0000,101688.0000,496.0000,170.0000,601.0000,0.0000
Nebraska Dodge,Nebraska,Dodge County,17290.0000,979986.0000,994403.0000,669535.0000,6414.0000,3214.0000,6590.0000,51.0000
Nebraska Dougl,Nebraska,Douglas County,271390.0000,21409250.000,21643680.000,14656375.000,207035.0000,146471.0000,220345.0000,755.0000
Nebraska Dundy,Nebraska,Dundy County,800.0000,35423.0000,37077.0000,23745.0000,104.0000,0.0000,98.0000,0.0000
Nebraska Fillm,Nebraska,Fillmore County,2720.0000,170345.0000,176114.0000,98471.0000,801.0000,150.0000,788.0000,0.0000
Nebraska Frank,Nebraska,Franklin County,1380.0000,71768.0000,74166.0000,42387.0000,118.0000,0.0000,201.0000,0.0000
Nebraska Front,Nebraska,Frontier County,1120.0000,41494.0000,43016.0000,36633.0000,0.0000,0.0000,151.0000,0.0000
Nebraska Furna,Nebraska,Furnas County,2230.0000,102381.0000,105119.0000,71251.0000,286.0000,89.0000,344.0000,0.0000
Nebraska Garde,Nebraska,Garden County,860.0000,31252.0000,32203.0000,22818.0000,0.0000,0.0000,55.0000,0.0000
Nebraska Garfi,Nebraska,Garfield County,820.0000,31953.0000,32883.0000,24002.0000,0.0000,0.0000,183.0000,0.0000
Nebraska Gospe,Nebraska,Gosper County,940.0000,56904.0000,58305.0000,37611.0000,193.0000,141.0000,343.0000,0.0000
Nebraska Grant,Nebraska,Grant County,300.0000,14085.0000,14598.0000,8809.0000,0.0000,0.0000,0.0000,0.0000
Nebraska Greel,Nebraska,Greeley County,1070.0000,33545.0000,35005.0000,30313.0000,127.0000,44.0000,187.0000,0.0000
Nebraska Hamil,Nebraska,Hamilton County,4520.0000,310372.0000,318524.0000,199893.0000,2200.0000,705.0000,2128.0000,0.0000
Nebraska Harla,Nebraska,Harlan County,1480.0000,68538.0000,70793.0000,49510.0000,264.0000,82.0000,337.0000,0.0000
Nebraska Hayes,Nebraska,Hayes County,410.0000,6984.0000,7602.0000,11752.0000,0.0000,0.0000,0.0000,0.0000
Nebraska Hitch,Nebraska,Hitchcock County,1210.0000,52476.0000,54039.0000,38021.0000,131.0000,33.0000,212.0000,0.0000
Nebraska Hooke,Nebraska,Hooker County,350.0000,14872.0000,15175.0000,9649.0000,0.0000,0.0000,0.0000,0.0000
Nebraska Howar,Nebraska,Howard County,3020.0000,146321.0000,149319.0000,119841.0000,462.0000,278.0000,721.0000,0.0000
Nebraska Jeffe,Nebraska,Jefferson County,3300.0000,181266.0000,186237.0000,115138.0000,603.0000,283.0000,717.0000,0.0000
Nebraska Johns,Nebraska,Johnson County,1980.0000,93714.0000,95441.0000,71968.0000,237.0000,137.0000,382.0000,0.0000
Nebraska Kearn,Nebraska,Kearney County,3130.0000,194164.0000,199421.0000,123245.0000,771.0000,312.0000,998.0000,0.0000
Nebraska Keith,Nebraska,Keith County,3890.0000,202523.0000,207381.0000,136219.0000,894.0000,531.0000,1365.0000,0.0000
Nebraska Keya ,Nebraska,Keya Paha County,390.0000,11804.0000,12216.0000,8893.0000,0.0000,0.0000,0.0000,0.0000
Nebraska Kimba,Nebraska,Kimball County,1610.0000,79279.0000,80937.0000,55031.0000,338.0000,101.0000,323.0000,0.0000
Nebraska Lanca,Nebraska,Lancaster County,147210.0000,10176619.000,10301387.000,6916286.0000,76365.0000,55265.0000,96379.0000,767.0000
Nebraska Linco,Nebraska,Lincoln County,16370.0000,931032.0000,943706.0000,686697.0000,6884.0000,3035.0000,6323.0000,0.0000
Nebraska Logan,Nebraska,Logan County,340.0000,13010.0000,13417.0000,10888.0000,0.0000,0.0000,0.0000,0.0000
Nebraska McPhe,Nebraska,McPherson County,220.0000,8473.0000,8725.0000,6104.0000,0.0000,0.0000,0.0000,0.0000
Nebraska Madis,Nebraska,Madison County,16680.0000,981894.0000,998521.0000,715293.0000,6094.0000,3027.0000,6316.0000,103.0000
Nebraska Merri,Nebraska,Merrick County,3570.0000,192117.0000,196311.0000,134729.0000,791.0000,353.0000,1027.0000,0.0000
Nebraska Morri,Nebraska,Morrill County,2110.0000,110054.0000,112545.0000,72016.0000,549.0000,147.0000,448.0000,0.0000
Nebraska Nance,Nebraska,Nance County,1600.0000,69127.0000,71199.0000,56124.0000,215.0000,51.0000,248.0000,0.0000
Nebraska Nemah,Nebraska,Nemaha County,2990.0000,176180.0000,179186.0000,128780.0000,575.0000,251.0000,795.0000,0.0000
Nebraska Nucko,Nebraska,Nuckolls County,1960.0000,96403.0000,100070.0000,62653.0000,207.0000,30.0000,284.0000,0.0000
Nebraska Pawne,Nebraska,Pawnee County,1210.0000,53805.0000,55288.0000,33322.0000,116.0000,0.0000,183.0000,0.0000
Nebraska Perki,Nebraska,Perkins County,1370.0000,69902.0000,72396.0000,46776.0000,276.0000,83.0000,368.0000,0.0000
Nebraska Phelp,Nebraska,Phelps County,4370.0000,255543.0000,262793.0000,169581.0000,1831.0000,982.0000,2172.0000,0.0000
Nebraska Pierc,Nebraska,Pierce County,3360.0000,195557.0000,200739.0000,138764.0000,1365.0000,301.0000,1076.0000,0.0000
Nebraska Platt,Nebraska,Platte County,16750.0000,991771.0000,1009717.0000,726339.0000,5856.0000,2780.0000,6594.0000,158.0000
Nebraska Red W,Nebraska,Red Willow County,4860.0000,254897.0000,259833.0000,184412.0000,1228.0000,580.0000,1417.0000,0.0000
Nebraska Richa,Nebraska,Richardson County,3660.0000,192330.0000,196651.0000,126790.0000,764.0000,238.0000,774.0000,0.0000
Nebraska Salin,Nebraska,Saline County,6490.0000,344763.0000,350233.0000,257053.0000,1296.0000,741.0000,1670.0000,71.0000
Nebraska Sarpy,Nebraska,Sarpy County,88800.0000,6574756.0000,6633304.0000,4970560.0000,53366.0000,45636.0000,73902.0000,265.0000
Nebraska Saund,Nebraska,Saunders County,10270.0000,718556.0000,732341.0000,507250.0000,5429.0000,3278.0000,6408.0000,91.0000
Nebraska Scott,Nebraska,Scotts Bluff County,16370.0000,860656.0000,872830.0000,645936.0000,5338.0000,3641.0000,6719.0000,49.0000
Nebraska Sewar,Nebraska,Seward County,7670.0000,523772.0000,534190.0000,356740.0000,3527.0000,1865.0000,4223.0000,0.0000
Nebraska Sheri,Nebraska,Sheridan County,2300.0000,87917.0000,90526.0000,67505.0000,239.0000,58.0000,299.0000,0.0000
Nebraska Sherm,Nebraska,Sherman County,1420.0000,51746.0000,53563.0000,43458.0000,76.0000,0.0000,117.0000,0.0000
Nebraska Sioux,Nebraska,Sioux County,510.0000,16480.0000,17160.0000,14184.0000,0.0000,0.0000,0.0000,0.0000
Nebraska Stant,Nebraska,Stanton County,2730.0000,151427.0000,154988.0000,111102.0000,505.0000,251.0000,689.0000,0.0000
Nebraska Thaye,Nebraska,Thayer County,2370.0000,132883.0000,137466.0000,85449.0000,789.0000,185.0000,742.0000,0.0000
Nebraska Thoma,Nebraska,Thomas County,330.0000,10427.0000,10821.0000,8649.0000,0.0000,0.0000,0.0000,0.0000
Nebraska Thurs,Nebraska,Thurston County,2700.0000,114619.0000,117220.0000,84946.0000,462.0000,176.0000,464.0000,0.0000
Nebraska Valle,Nebraska,Valley County,1920.0000,71760.0000,74378.0000,66003.0000,237.0000,83.0000,260.0000,0.0000
Nebraska Washi,Nebraska,Washington County,9910.0000,804164.0000,814236.0000,553910.0000,6866.0000,4795.0000,8546.0000,117.0000
Nebraska Wayne,Nebraska,Wayne County,3760.0000,221809.0000,226492.0000,147380.0000,1108.0000,421.0000,1141.0000,0.0000
Nebraska Webst,Nebraska,Webster County,1560.0000,69706.0000,71773.0000,48389.0000,144.0000,0.0000,197.0000,0.0000
Nebraska Wheel,Nebraska,Wheeler County,360.0000,12185.0000,12741.0000,10100.0000,0.0000,0.0000,0.0000,0.0000
Nevada Churc,Nevada,Churchill County,11750.0000,634271.0000,640949.0000,456190.0000,303.0000,1358.0000,2630.0000,59.0000
Nevada Clark,Nevada,Clark County,1049220.0000,74666006.000,75332736.000,46717462.000,292144.0000,371060.0000,625797.0000,39325.0000
Nevada Dougl,Nevada,Douglas County,26920.0000,2570820.0000,2608392.0000,1136826.0000,28764.0000,23283.0000,26876.0000,440.0000
Nevada Esmer,Nevada,Esmeralda County,370.0000,17615.0000,17774.0000,11623.0000,0.0000,0.0000,0.0000,0.0000
Nevada Eurek,Nevada,Eureka County,780.0000,47297.0000,47904.0000,41106.0000,0.0000,0.0000,0.0000,0.0000
Nevada Humbo,Nevada,Humboldt County,7860.0000,505460.0000,510238.0000,407240.0000,253.0000,947.0000,1990.0000,79.0000
Nevada Lande,Nevada,Lander County,2430.0000,170558.0000,171702.0000,136074.0000,0.0000,209.0000,555.0000,0.0000
Nevada Linco,Nevada,Lincoln County,1690.0000,90433.0000,91089.0000,59518.0000,0.0000,315.0000,581.0000,0.0000
Nevada Miner,Nevada,Mineral County,1930.0000,90098.0000,90565.0000,65105.0000,0.0000,71.0000,205.0000,0.0000
Nevada Persh,Nevada,Pershing County,2060.0000,105651.0000,106206.0000,86427.0000,0.0000,113.0000,286.0000,0.0000
Nevada Store,Nevada,Storey County,2070.0000,144114.0000,145439.0000,84233.0000,135.0000,490.0000,1045.0000,0.0000
Nevada Washo,Nevada,Washoe County,237680.0000,21150664.000,21379570.000,11845397.000,110984.0000,128091.0000,167913.0000,3251.0000
Nevada White,Nevada,White Pine County,3940.0000,228776.0000,230691.0000,171144.0000,0.0000,421.0000,774.0000,0.0000
New Hampshire Belkn,New Hampshire,Belknap County,33760.0000,2510108.0000,2549817.0000,1563128.0000,9844.0000,24456.0000,20401.0000,384.0000
New Hampshire Carro,New Hampshire,Carroll County,26560.0000,2087826.0000,2125082.0000,1054968.0000,14552.0000,17372.0000,14939.0000,514.0000
New Hampshire Chesh,New Hampshire,Cheshire County,37850.0000,2594255.0000,2632979.0000,1722516.0000,14945.0000,21445.0000,20533.0000,420.0000
New Hampshire Graft,New Hampshire,Grafton County,44790.0000,3966185.0000,4024095.0000,2247913.0000,21510.0000,37765.0000,32435.0000,756.0000
New Hampshire Hills,New Hampshire,Hillsborough County,219230.0000,17243342.000,17460537.000,13051030.000,69474.0000,180991.0000,179975.0000,2252.0000
New Hampshire Merri,New Hampshire,Merrimack County,77500.0000,5760439.0000,5846177.0000,4055090.0000,14012.0000,54563.0000,49510.0000,1146.0000
New Hampshire Rocki,New Hampshire,Rockingham County,171230.0000,16742115.000,16983071.000,11416601.000,100486.0000,210746.0000,206850.0000,2111.0000
New Hampshire Straf,New Hampshire,Strafford County,64220.0000,4432216.0000,4489820.0000,3307540.0000,8997.0000,41236.0000,39299.0000,799.0000
New Hampshire Sulli,New Hampshire,Sullivan County,21740.0000,1515978.0000,1536443.0000,999736.0000,6064.0000,11620.0000,9662.0000,249.0000
New Jersey Atlan,New Jersey,Atlantic County,134970.0000,7863403.0000,7981148.0000,5550383.0000,91406.0000,109546.0000,128767.0000,4369.0000
New Jersey Berge,New Jersey,Bergen County,471350.0000,56260783.000,57130131.000,36982314.000,1847540.0000,1217471.0000,1052536.0000,3763.0000
New Jersey Burli,New Jersey,Burlington County,228420.0000,19117716.000,19380185.000,13740878.000,338757.0000,323460.0000,358689.0000,5845.0000
New Jersey Camde,New Jersey,Camden County,248590.0000,17280427.000,17516050.000,12898189.000,248943.0000,277551.0000,324931.0000,4975.0000
New Jersey Cape ,New Jersey,Cape May County,49920.0000,3412102.0000,3479454.0000,1929235.0000,53295.0000,43767.0000,54576.0000,1228.0000
New Jersey Cumbe,New Jersey,Cumberland County,65950.0000,3349582.0000,3383281.0000,2428988.0000,32154.0000,28329.0000,38534.0000,1765.0000
New Jersey Essex,New Jersey,Essex County,382140.0000,34159757.000,34687061.000,24563965.000,1095406.0000,728483.0000,600889.0000,2979.0000
New Jersey Glouc,New Jersey,Gloucester County,143360.0000,10837062.000,10960799.000,8247521.0000,134425.0000,173160.0000,190417.0000,5562.0000
New Jersey Hudso,New Jersey,Hudson County,342990.0000,26653270.000,26910682.000,22600695.000,500753.0000,249063.0000,321006.0000,1166.0000
New Jersey Hunte,New Jersey,Hunterdon County,65410.0000,8289470.0000,8426012.0000,5636645.0000,215643.0000,170801.0000,154547.0000,1300.0000
New Jersey Merce,New Jersey,Mercer County,178080.0000,17508385.000,17723231.000,12133681.000,475099.0000,300111.0000,269919.0000,3406.0000
New Jersey Middl,New Jersey,Middlesex County,412700.0000,34345931.000,34718424.000,26225231.000,567823.0000,572415.0000,604548.0000,5928.0000
New Jersey Monmo,New Jersey,Monmouth County,325420.0000,36475778.000,37078931.000,24198458.000,1075384.0000,747281.0000,718242.0000,4811.0000
New Jersey Morri,New Jersey,Morris County,256440.0000,35027695.000,35571343.000,23555988.000,1185155.0000,697310.0000,661034.0000,2807.0000
New Jersey Ocean,New Jersey,Ocean County,293030.0000,19839595.000,20137935.000,13198859.000,320399.0000,348936.0000,405518.0000,4390.0000
New Jersey Passa,New Jersey,Passaic County,254430.0000,15805348.000,16015475.000,11890107.000,246225.0000,324861.0000,315607.0000,1976.0000
New Jersey Salem,New Jersey,Salem County,30300.0000,1921742.0000,1941666.0000,1378095.0000,16273.0000,21280.0000,25650.0000,1249.0000
New Jersey Somer,New Jersey,Somerset County,171460.0000,22520586.000,22837382.000,15814376.000,699494.0000,435549.0000,397248.0000,2693.0000
New Jersey Susse,New Jersey,Sussex County,73370.0000,6127870.0000,6222848.0000,4462102.0000,103213.0000,116856.0000,118529.0000,768.0000
New Jersey Union,New Jersey,Union County,279650.0000,25901911.000,26236785.000,18739734.000,725707.0000,542400.0000,481856.0000,2513.0000
New Jersey Warre,New Jersey,Warren County,54530.0000,3997391.0000,4049092.0000,2939633.0000,46508.0000,64984.0000,73013.0000,542.0000
New Mexico Berna,New Mexico,Bernalillo County,315520.0000,18984147.000,19192754.000,12829082.000,164512.0000,109778.0000,203414.0000,7355.0000
New Mexico Catro,New Mexico,Catron County,1380.0000,56466.0000,57141.0000,24302.0000,110.0000,56.0000,252.0000,0.0000
New Mexico Chave,New Mexico,Chaves County,25530.0000,1248631.0000,1263225.0000,908695.0000,8336.0000,2620.0000,7028.0000,156.0000
New Mexico Cibol,New Mexico,Cibola County,9300.0000,365908.0000,368795.0000,274668.0000,846.0000,390.0000,1153.0000,0.0000
New Mexico Colfa,New Mexico,Colfax County,5270.0000,253859.0000,256587.0000,141898.0000,1165.0000,660.0000,1600.0000,0.0000
New Mexico Curry,New Mexico,Curry County,20350.0000,870690.0000,879154.0000,719410.0000,3434.0000,1318.0000,4057.0000,70.0000
New Mexico De Ba,New Mexico,De Baca County,730.0000,30517.0000,30921.0000,19183.0000,0.0000,0.0000,97.0000,0.0000
New Mexico Grant,New Mexico,Grant County,12090.0000,579875.0000,585651.0000,354430.0000,2229.0000,935.0000,2711.0000,208.0000
