Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable
Illinois Fayet,Illinois,Fayette County,361,22025,0.916897507,0.083102493,0,52,6.9,0.807663106
Illinois Frank,Illinois,Franklin County,304,39505,0.983552632,0.016447368,0,103,0,0.807663106
Illinois Fulto,Illinois,Fulton County,211,36045,0.890995261,0.109004739,0,105.5,4.9,0.807663106
Illinois Galla,Illinois,Gallatin County,78,5325,0.923076923,0.076923077,,,,0.807663106
Illinois Green,Illinois,Greene County,163,13390,0.944785276,0.055214724,0,38.9,0,0.807663106
Illinois Grund,Illinois,Grundy County,270,50340,0.885185185,0.114814815,0,73.9,12.1,0.807663106
Illinois Hamil,Illinois,Hamilton County,165,8250,0.957575758,0.042424242,0,39.2,0,0.807663106
Illinois Hanco,Illinois,Hancock County,296,18635,0.85472973,0.14527027,0,57.8,15.7,0.807663106
Illinois Hardi,Illinois,Hardin County,60,4175,0.9,0.1,0,,,0.807663106
Illinois Hende,Illinois,Henderson County,145,6965,0.931034483,0.068965517,0,45.5,40.2,0.807663106
Illinois Henry,Illinois,Henry County,327,49680,0.957186544,0.042813456,0,71.1,14.7,0.807663106
Illinois Iroqu,Illinois,Iroquois County,566,28815,0.883392226,0.116607774,0,189.9,37,0.807663106
Illinois Jacks,Illinois,Jackson County,230,59190,0.965217391,0.034782609,0,76.8,25.3,0.807663106
Illinois Jaspe,Illinois,Jasper County,181,9590,0.939226519,0.060773481,0,40.1,0,0.807663106
Illinois Jeffe,Illinois,Jefferson County,257,38525,0.883268482,0.116731518,0,165.8,0,0.807663106
Illinois Jerse,Illinois,Jersey County,112,22440,0.964285714,0.035714286,0,17,2.8,0.807663106
Illinois Jo Da,Illinois,Jo Daviess County,192,22185,0.880208333,0.119791667,0,83.7,0,0.807663106
Illinois Johns,Illinois,Johnson County,116,12865,0.931034483,0.068965517,0,29,0,0.807663106
Illinois Kanka,Illinois,Kankakee County,346,111495,0.942196532,0.057803468,0,110.4,21.1,0.807663106
Illinois Kenda,Illinois,Kendall County,127,121450,0.984251969,0.015748031,0,34.6,14.3,0.807663106
Illinois LaSal,Illinois,LaSalle County,529,111935,0.913043478,0.086956522,0,166.6,25.5,0.807663106
Illinois Lawre,Illinois,Lawrence County,178,16580,0.848314607,0.151685393,0,21.3,0,0.807663106
Illinois Livin,Illinois,Livingston County,583,37280,0.888507719,0.111492281,0,117,29.6,0.807663106
Illinois Logan,Illinois,Logan County,291,29820,0.89347079,0.10652921,0,78,27.2,0.807663106
Illinois McDon,Illinois,McDonough County,201,31725,0.905472637,0.094527363,0,75,35.2,0.807663106
Illinois McHen,Illinois,McHenry County,225,307085,0.884444444,0.115555556,0,85.2,35.4,0.807663106
Illinois McLea,Illinois,McLean County,623,173255,0.972712681,0.027287319,1,130.4,42.6,0.807663106
Illinois Macon,Illinois,Macon County,346,108405,0.852601156,0.147398844,1,120.8,0,0.807663106
Illinois Macou,Illinois,Macoupin County,245,46480,0.865306122,0.134693878,0,109.8,41,0.807663106
Illinois Madis,Illinois,Madison County,520,266760,0.936538462,0.063461538,0,182,27,0.807663106
Illinois Mario,Illinois,Marion County,296,38505,0.935810811,0.064189189,0,103.8,30.4,0.807663106
Illinois Marsh,Illinois,Marshall County,156,12060,0.923076923,0.076923077,0,44.4,0,0.807663106
Illinois Mason,Illinois,Mason County,81,13930,0.950617284,0.049382716,0,48.2,0,0.807663106
Illinois Massa,Illinois,Massac County,130,14885,0.930769231,0.069230769,0,39.5,0,0.807663106
Illinois Menar,Illinois,Menard County,91,12575,0.901098901,0.098901099,,34.9,0,0.807663106
Illinois Merce,Illinois,Mercer County,163,15970,0.858895706,0.141104294,0,,,0.807663106
Illinois Monro,Illinois,Monroe County,131,33705,0.954198473,0.045801527,0,31,0,0.807663106
Illinois Montg,Illinois,Montgomery County,264,29300,0.897727273,0.102272727,0,110.2,0,0.807663106
Illinois Morga,Illinois,Morgan County,233,34800,0.927038627,0.072961373,0,94.2,0,0.807663106
Illinois Moult,Illinois,Moultrie County,164,14915,0.957317073,0.042682927,0,40.8,0,0.807663106
Illinois Peori,Illinois,Peoria County,351,186820,0.780626781,0.219373219,1,150,0,0.807663106
Illinois Perry,Illinois,Perry County,131,21595,0.969465649,0.030534351,0,82.8,18.5,0.807663106
Illinois Piatt,Illinois,Piatt County,246,16470,0.947154472,0.052845528,0,67.5,5.4,0.807663106
Illinois Pulas,Illinois,Pulaski County,106,5790,0.896226415,0.103773585,0,21.1,18,0.807663106
Illinois Putna,Illinois,Putnam County,51,5745,0.843137255,0.156862745,0,22.4,0,0.807663106
Illinois Rando,Illinois,Randolph County,149,32935,0.932885906,0.067114094,0,115.9,0,0.807663106
Illinois Richl,Illinois,Richland County,150,16070,0.92,0.08,0,21.7,0,0.807663106
Illinois Rock ,Illinois,Rock Island County,275,146535,0.930909091,0.069090909,1,66.2,0,0.807663106
Illinois St. C,Illinois,St. Clair County,486,265570,0.930041152,0.069958848,0,203.8,16.3,0.807663106
Illinois Salin,Illinois,Saline County,185,24660,0.940540541,0.059459459,0,24.3,0,0.807663106
Illinois Sanga,Illinois,Sangamon County,458,198640,0.956331878,0.043668122,1,158.8,34.5,0.807663106
Illinois Schuy,Illinois,Schuyler County,112,7205,0.892857143,0.107142857,0,12.3,0,0.807663106
Illinois Scott,Illinois,Scott County,99,5170,0.929292929,0.070707071,,18.4,0,0.807663106
Illinois Shelb,Illinois,Shelby County,341,22010,0.882697947,0.117302053,0,49.7,4.8,0.807663106
Illinois Stark,Illinois,Stark County,93,5840,0.924731183,0.075268817,0,6,0,0.807663106
Illinois Steph,Illinois,Stephenson County,341,46285,0.947214076,0.052785924,0,32.6,1.3,0.807663106
Illinois Tazew,Illinois,Tazewell County,360,135400,0.883333333,0.116666667,0,93.8,0,0.807663106
Illinois Union,Illinois,Union County,200,17460,0.95,0.05,0,40.4,22.5,0.807663106
Illinois Vermi,Illinois,Vermilion County,493,79615,0.910750507,0.089249493,0,125.4,0,0.807663106
Illinois Wabas,Illinois,Wabash County,91,11585,0.934065934,0.065934066,0,23.6,0,0.807663106
Illinois Warre,Illinois,Warren County,199,17610,0.959798995,0.040201005,0,44.7,39.2,0.807663106
Illinois Washi,Illinois,Washington County,234,14370,0.94017094,0.05982906,0,45.8,20.5,0.807663106
Illinois Wayne,Illinois,Wayne County,264,16515,0.90530303,0.09469697,0,30.2,0,0.807663106
Illinois Willi,Illinois,Williamson County,200,67335,0.95,0.05,1,67.4,0,0.807663106
Illinois Winne,Illinois,Winnebago County,469,288895,0.931769723,0.068230277,1,72.2,0,0.807663106
Illinois Woodf,Illinois,Woodford County,216,39125,0.898148148,0.101851852,0,28,0,0.807663106
Indiana Adams,Indiana,Adams County,192,34815,0.989583333,0.010416667,0,6.5,0,0.92512153
Indiana Allen,Indiana,Allen County,601,365565,0.930116473,0.069883527,1,133,0,0.92512153
Indiana Barth,Indiana,Bartholomew County,264,80205,0.946969697,0.053030303,0,22.3,0,0.92512153
Indiana Bento,Indiana,Benton County,151,8710,0.953642384,0.046357616,0,53,0,0.92512153
Indiana Black,Indiana,Blackford County,75,12365,0.973333333,0.026666667,0,16.9,0,0.92512153
Indiana Boone,Indiana,Boone County,286,61885,0.905594406,0.094405594,0,23.4,4.6,0.92512153
Indiana Brown,Indiana,Brown County,113,14965,0.840707965,0.159292035,0,11.3,0,0.92512153
Indiana Carro,Indiana,Carroll County,162,20005,0.987654321,0.012345679,0,28.7,0,0.92512153
Indiana Clark,Indiana,Clark County,251,113995,0.984063745,0.015936255,0,50.2,0,0.92512153
Indiana Clint,Indiana,Clinton County,212,32690,0.919811321,0.080188679,0,41.2,0,0.92512153
Indiana Crawf,Indiana,Crawford County,121,10580,0.785123967,0.214876033,0,25.2,0,0.92512153
Indiana Davie,Indiana,Daviess County,221,32585,0.986425339,0.013574661,0,60.4,0,0.92512153
Indiana Dearb,Indiana,Dearborn County,146,49550,0.876712329,0.123287671,0,46.2,0,0.92512153
Indiana Decat,Indiana,Decatur County,217,26340,0.903225806,0.096774194,0,20.7,0,0.92512153
Indiana DeKal,Indiana,DeKalb County,147,42490,0.993197279,0.006802721,0,58.4,20.2,0.92512153
Indiana Delaw,Indiana,Delaware County,275,116465,0.927272727,0.072727273,0,65.9,0,0.92512153
Indiana Duboi,Indiana,Dubois County,218,42345,0.958715596,0.041284404,0,50.4,2.7,0.92512153
Indiana Elkha,Indiana,Elkhart County,276,201640,0.938405797,0.061594203,0,64.6,25.7,0.92512153
Indiana Fayet,Indiana,Fayette County,100,23610,0.87,0.13,0,29.9,24.9,0.92512153
Indiana Floyd,Indiana,Floyd County,143,76290,0.937062937,0.062937063,0,11.3,0,0.92512153
Indiana Fount,Indiana,Fountain County,196,16740,0.882653061,0.117346939,0,9,0,0.92512153
Indiana Frank,Indiana,Franklin County,155,22885,0.870967742,0.129032258,0,31.7,9.7,0.92512153
Indiana Fulto,Indiana,Fulton County,83,20410,0.939759036,0.060240964,0,7.2,0,0.92512153
Indiana Gibso,Indiana,Gibson County,359,33685,0.963788301,0.036211699,0,90.3,0,0.92512153
Indiana Grant,Indiana,Grant County,276,68270,0.985507246,0.014492754,0,65.9,0,0.92512153
Indiana Green,Indiana,Greene County,239,32635,0.89539749,0.10460251,0,85.8,0,0.92512153
Indiana Hamil,Indiana,Hamilton County,428,303040,0.988317757,0.011682243,0,20.9,20.9,0.92512153
Indiana Hanco,Indiana,Hancock County,199,71955,0.974874372,0.025125628,0,15.9,8.9,0.92512153
Indiana Harri,Indiana,Harrison County,124,39370,1,0,0,24.9,7.8,0.92512153
Indiana Hendr,Indiana,Hendricks County,342,155815,0.947368421,0.052631579,0,46.7,17.2,0.92512153
Indiana Henry,Indiana,Henry County,205,48955,0.96097561,0.03902439,0,29.4,0,0.92512153
Indiana Howar,Indiana,Howard County,192,82730,0.932291667,0.067708333,0,20.5,0,0.92512153
Indiana Hunti,Indiana,Huntington County,184,36695,0.97826087,0.02173913,0,29.6,0,0.92512153
Indiana Jacks,Indiana,Jackson County,315,43635,0.936507937,0.063492063,0,50.9,0,0.92512153
Indiana Jaspe,Indiana,Jasper County,189,33460,0.973544974,0.026455026,0,49,21.9,0.92512153
Indiana Jeffe,Indiana,Jefferson County,147,32480,0.965986395,0.034013605,0,12.7,0,0.92512153
Indiana Jenni,Indiana,Jennings County,159,28025,0.899371069,0.100628931,0,31.4,0,0.92512153
Indiana Johns,Indiana,Johnson County,217,147565,0.930875576,0.069124424,0,46.2,0,0.92512153
Indiana Kosci,Indiana,Kosciusko County,151,78460,0.927152318,0.072847682,0,85.4,0,0.92512153
Indiana LaGra,Indiana,LaGrange County,100,38395,0.99,0.01,0,4.1,0,0.92512153
Indiana LaPor,Indiana,LaPorte County,226,110995,0.977876106,0.022123894,0,185.4,63.5,0.92512153
Indiana Lawre,Indiana,Lawrence County,165,45695,0.933333333,0.066666667,0,25,0,0.92512153
Indiana Madis,Indiana,Madison County,297,129860,0.976430976,0.023569024,0,82.3,0,0.92512153
Indiana Mario,Indiana,Marion County,942,932140,0.942675159,0.057324841,1,140.7,38.1,0.92512153
Indiana Marsh,Indiana,Marshall County,185,46835,0.951351351,0.048648649,0,90.9,0,0.92512153
Indiana Marti,Indiana,Martin County,104,10220,0.865384615,0.134615385,,18.3,0,0.92512153
Indiana Miami,Indiana,Miami County,172,36095,0.895348837,0.104651163,0,15.9,0,0.92512153
Indiana Monro,Indiana,Monroe County,227,143290,0.969162996,0.030837004,0,25.3,0,0.92512153
Indiana Montg,Indiana,Montgomery County,253,38110,0.936758893,0.063241107,0,41.7,24.5,0.92512153
Indiana Morga,Indiana,Morgan County,225,69505,0.937777778,0.062222222,0,31.3,0,0.92512153
Indiana Newto,Indiana,Newton County,168,14020,0.958333333,0.041666667,0,23.5,6.8,0.92512153
Indiana Noble,Indiana,Noble County,90,47585,0.888888889,0.111111111,0,50.1,24.6,0.92512153
Indiana Orang,Indiana,Orange County,135,19580,0.874074074,0.125925926,0,7.2,7.2,0.92512153
Indiana Parke,Indiana,Parke County,202,17035,0.861386139,0.138613861,0,5.2,0,0.92512153
Indiana Perry,Indiana,Perry County,148,19300,0.966216216,0.033783784,0,4.9,0,0.92512153
Indiana Porte,Indiana,Porter County,272,167015,0.908088235,0.091911765,0,131.6,49.7,0.92512153
Indiana Posey,Indiana,Posey County,209,25525,0.923444976,0.076555024,0,39.8,0,0.92512153
Indiana Pulas,Indiana,Pulaski County,102,12910,0.931372549,0.068627451,0,11.6,0,0.92512153
Indiana Putna,Indiana,Putnam County,290,37625,0.813793103,0.186206897,0,47.4,0,0.92512153
Indiana Rando,Indiana,Randolph County,254,25405,0.921259843,0.078740157,0,21.8,0,0.92512153
Indiana Riple,Indiana,Ripley County,191,28635,0.937172775,0.062827225,0,30.1,0,0.92512153
Indiana St. J,Indiana,St. Joseph County,228,267695,0.925438596,0.074561404,1,80.4,38.7,0.92512153
Indiana Scott,Indiana,Scott County,116,23735,0.974137931,0.025862069,0,12.2,0,0.92512153
Indiana Shelb,Indiana,Shelby County,248,44405,0.923387097,0.076612903,0,31.6,8.8,0.92512153
Indiana Spenc,Indiana,Spencer County,247,20775,0.975708502,0.024291498,0,40,0,0.92512153
Indiana Stark,Indiana,Starke County,87,23070,0.91954023,0.08045977,0,31.8,0,0.92512153
Indiana Steub,Indiana,Steuben County,135,34280,0.992592593,0.007407407,0,39.1,0,0.92512153
Indiana Sulli,Indiana,Sullivan County,216,21025,0.916666667,0.083333333,0,73.7,0,0.92512153
Indiana Switz,Indiana,Switzerland County,62,10485,0.870967742,0.129032258,0,,,0.92512153
Indiana Tippe,Indiana,Tippecanoe County,322,183395,0.925465839,0.074534161,0,89.2,26.5,0.92512153
Indiana Tipto,Indiana,Tipton County,112,15445,1,0,0,32,4.9,0.92512153
Indiana Union,Indiana,Union County,57,7250,0.929824561,0.070175439,0,30.7,16.4,0.92512153
Indiana Vande,Indiana,Vanderburgh County,277,181690,0.974729242,0.025270758,1,62.1,0,0.92512153
Indiana Vermi,Indiana,Vermillion County,127,15750,0.937007874,0.062992126,0,47.6,0,0.92512153
Indiana Wabas,Indiana,Wabash County,193,32175,0.932642487,0.067357513,0,51.4,0,0.92512153
Indiana Warre,Indiana,Warren County,133,8310,0.909774436,0.090225564,0,29,0,0.92512153
Indiana Warri,Indiana,Warrick County,196,61425,0.943877551,0.056122449,0,55.7,0,0.92512153
Indiana Washi,Indiana,Washington County,174,27790,0.965517241,0.034482759,0,,,0.92512153
Indiana Wayne,Indiana,Wayne County,345,67425,0.953623188,0.046376812,0,43.1,0,0.92512153
Indiana Wells,Indiana,Wells County,156,27835,0.91025641,0.08974359,0,39.1,0,0.92512153
Indiana White,Indiana,White County,216,24265,0.972222222,0.027777778,0,67.3,27.3,0.92512153
Indiana Whitl,Indiana,Whitley County,115,33355,0.982608696,0.017391304,0,35.4,0,0.92512153
Iowa Adair,Iowa,Adair County,317,7330,0.80126183,0.19873817,0,7.7,0,0.906330826
Iowa Adams,Iowa,Adams County,186,3820,0.704301075,0.295698925,0,25.8,25.8,0.906330826
Iowa Allam,Iowa,Allamakee County,196,14000,0.87244898,0.12755102,0,40.2,0,0.906330826
Iowa Appan,Iowa,Appanoose County,193,12600,0.715025907,0.284974093,0,45.2,0,0.906330826
Iowa Audub,Iowa,Audubon County,219,5795,0.876712329,0.123287671,0,,,0.906330826
Iowa Bento,Iowa,Benton County,366,25720,0.808743169,0.191256831,0,50.3,0,0.906330826
Iowa Black,Iowa,Black Hawk County,482,132820,0.933609959,0.066390041,1,84.4,0,0.906330826
Iowa Boone,Iowa,Boone County,134,26410,0.671641791,0.328358209,0,24.4,0,0.906330826
Iowa Breme,Iowa,Bremer County,262,24665,0.824427481,0.175572519,0,24.8,0,0.906330826
Iowa Bucha,Iowa,Buchanan County,316,21030,0.905063291,0.094936709,0,27.3,0,0.906330826
Iowa Buena,Iowa,Buena Vista County,161,20445,0.763975155,0.236024845,0,25.3,0,0.906330826
Iowa Butle,Iowa,Butler County,288,14935,0.802083333,0.197916667,0,46.7,0,0.906330826
Iowa Calho,Iowa,Calhoun County,201,9875,0.84079602,0.15920398,0,41.4,0,0.906330826
Iowa Carro,Iowa,Carroll County,249,20555,0.9437751,0.0562249,0,49,0,0.906330826
Iowa Cedar,Iowa,Cedar County,308,18390,0.743506494,0.256493506,0,31.9,0,0.906330826
Iowa Cerro,Iowa,Cerro Gordo County,265,43305,0.890566038,0.109433962,1,111.5,0,0.906330826
Iowa Chero,Iowa,Cherokee County,246,11750,0.715447154,0.284552846,0,29.7,0,0.906330826
Iowa Chick,Iowa,Chickasaw County,307,12165,0.827361564,0.172638436,0,33.3,0,0.906330826
Iowa Clark,Iowa,Clarke County,168,9275,0.738095238,0.261904762,0,31.4,31.4,0.906330826
Iowa Clayt,Iowa,Clayton County,262,17735,0.885496183,0.114503817,0,59.3,0,0.906330826
Iowa Clint,Iowa,Clinton County,372,47970,0.970430108,0.029569892,0,64,0,0.906330826
Iowa Crawf,Iowa,Crawford County,311,17145,0.864951768,0.135048232,0,78.3,0,0.906330826
Iowa Dalla,Iowa,Dallas County,186,78075,0.887096774,0.112903226,0,21.6,0,0.906330826
Iowa Davis,Iowa,Davis County,180,8770,0.638888889,0.361111111,0,,,0.906330826
Iowa Decat,Iowa,Decatur County,207,8210,0.623188406,0.376811594,0,,,0.906330826
Iowa Delaw,Iowa,Delaware County,290,17445,0.927586207,0.072413793,0,39.9,0,0.906330826
Iowa Des M,Iowa,Des Moines County,176,40115,0.795454545,0.204545455,1,75.3,18.1,0.906330826
Iowa Dicki,Iowa,Dickinson County,88,17045,0.852272727,0.147727273,0,3,0,0.906330826
Iowa Dubuq,Iowa,Dubuque County,331,96360,0.858006042,0.141993958,1,63.7,0,0.906330826
Iowa Emmet,Iowa,Emmet County,77,9820,0.779220779,0.220779221,0,36.2,0,0.906330826
Iowa Fayet,Iowa,Fayette County,358,20390,0.818435754,0.181564246,0,8.3,0,0.906330826
Iowa Floyd,Iowa,Floyd County,208,16005,0.865384615,0.134615385,0,65.2,0,0.906330826
Iowa Frank,Iowa,Franklin County,233,10395,0.854077253,0.145922747,0,26.5,0,0.906330826
Iowa Fremo,Iowa,Fremont County,172,7020,0.802325581,0.197674419,0,25.1,0,0.906330826
Iowa Green,Iowa,Greene County,170,9085,0.888235294,0.111764706,0,37.2,0,0.906330826
Iowa Grund,Iowa,Grundy County,282,12375,0.776595745,0.223404255,0,,,0.906330826
Iowa Guthr,Iowa,Guthrie County,269,10690,0.710037175,0.289962825,0,24,0,0.906330826
Iowa Hamil,Iowa,Hamilton County,167,15225,0.814371257,0.185628743,0,54,0,0.906330826
Iowa Hanco,Iowa,Hancock County,145,11005,0.786206897,0.213793103,0,49.2,0,0.906330826
Iowa Hardi,Iowa,Hardin County,251,17325,0.820717131,0.179282869,0,69.6,0,0.906330826
Iowa Harri,Iowa,Harrison County,219,14335,0.762557078,0.237442922,0,101.3,0,0.906330826
Iowa Henry,Iowa,Henry County,176,19940,0.835227273,0.164772727,0,19.9,19.2,0.906330826
Iowa Howar,Iowa,Howard County,217,9430,0.751152074,0.248847926,0,,,0.906330826
Iowa Humbo,Iowa,Humboldt County,92,9605,0.826086957,0.173913043,0,39.3,0,0.906330826
Iowa Jacks,Iowa,Jackson County,252,19530,0.78968254,0.21031746,0,34.4,0,0.906330826
Iowa Jaspe,Iowa,Jasper County,388,36715,0.652061856,0.347938144,0,45.3,0,0.906330826
Iowa Jeffe,Iowa,Jefferson County,159,17660,0.716981132,0.283018868,0,28.4,24.4,0.906330826
Iowa Johns,Iowa,Johnson County,362,142005,0.889502762,0.110497238,0,53.1,0,0.906330826
Iowa Jones,Iowa,Jones County,239,20480,0.941422594,0.058577406,0,,,0.906330826
Iowa Keoku,Iowa,Keokuk County,196,10235,0.821428571,0.178571429,0,9.4,0,0.906330826
Iowa Kossu,Iowa,Kossuth County,277,15225,0.909747292,0.090252708,0,82.7,0,0.906330826
Iowa Louis,Iowa,Louisa County,150,11250,0.886666667,0.113333333,,19.4,0,0.906330826
Iowa Lucas,Iowa,Lucas County,195,8700,0.671794872,0.328205128,0,51.5,31.1,0.906330826
Iowa Madis,Iowa,Madison County,225,15660,0.626666667,0.373333333,0,8.4,0,0.906330826
Iowa Mahas,Iowa,Mahaska County,235,22325,0.676595745,0.323404255,0,25.5,0,0.906330826
Iowa Mario,Iowa,Marion County,224,33195,0.772321429,0.227678571,0,55.2,0,0.906330826
Iowa Marsh,Iowa,Marshall County,312,40735,0.666666667,0.333333333,0,40.1,0,0.906330826
Iowa Mills,Iowa,Mills County,183,14840,0.803278689,0.196721311,,47,27.9,0.906330826
Iowa Mitch,Iowa,Mitchell County,167,10755,0.838323353,0.161676647,0,38.4,0,0.906330826
Iowa Monon,Iowa,Monona County,169,9015,0.692307692,0.307692308,0,25.8,0,0.906330826
Iowa Monro,Iowa,Monroe County,140,7965,0.721428571,0.278571429,0,78.5,39.6,0.906330826
Iowa Montg,Iowa,Montgomery County,216,10380,0.736111111,0.263888889,0,35.5,25.8,0.906330826
Iowa Musca,Iowa,Muscatine County,146,42950,0.787671233,0.212328767,0,56.6,0,0.906330826
Iowa O'Bri,Iowa,O'Brien County,268,14055,0.992537313,0.007462687,0,30.6,0,0.906330826
Iowa Osceo,Iowa,Osceola County,185,6155,0.913513514,0.086486486,0,18.1,0,0.906330826
Iowa Palo ,Iowa,Palo Alto County,136,9155,0.838235294,0.161764706,0,54.4,0,0.906330826
Iowa Plymo,Iowa,Plymouth County,456,24970,0.752192982,0.247807018,0,86.4,0,0.906330826
Iowa Pocah,Iowa,Pocahontas County,208,7060,0.754807692,0.245192308,0,43.4,0,0.906330826
Iowa Potta,Iowa,Pottawattamie County,565,93200,0.877876106,0.122123894,0,137.5,0,0.906330826
Iowa Powes,Iowa,Poweshiek County,270,18620,0.674074074,0.325925926,0,48.6,0,0.906330826
Iowa Ringg,Iowa,Ringgold County,231,5055,0.545454545,0.454545455,0,,,0.906330826
Iowa Scott,Iowa,Scott County,288,171115,0.888888889,0.111111111,0,63.2,0,0.906330826
Iowa Shelb,Iowa,Shelby County,219,11945,0.863013699,0.136986301,0,24.2,0,0.906330826
Iowa Sioux,Iowa,Sioux County,448,34620,0.966517857,0.033482143,0,66.9,0,0.906330826
Iowa Story,Iowa,Story County,291,94835,0.828178694,0.171821306,0,69.6,0,0.906330826
Iowa Taylo,Iowa,Taylor County,246,6210,0.585365854,0.414634146,0,,,0.906330826
Iowa Union,Iowa,Union County,187,12540,0.673796791,0.326203209,0,24.8,24.8,0.906330826
Iowa Van B,Iowa,Van Buren County,161,7380,0.677018634,0.322981366,0,,,0.906330826
Iowa Wapel,Iowa,Wapello County,202,35240,0.747524752,0.252475248,0,61.2,26.4,0.906330826
Iowa Warre,Iowa,Warren County,254,48170,0.708661417,0.291338583,0,15.1,0,0.906330826
Iowa Washi,Iowa,Washington County,214,22115,0.822429907,0.177570093,0,25.5,0,0.906330826
Iowa Wayne,Iowa,Wayne County,163,6405,0.779141104,0.220858896,0,43.1,0,0.906330826
Iowa Webst,Iowa,Webster County,218,37050,0.76146789,0.23853211,1,99.4,0,0.906330826
Iowa Woodb,Iowa,Woodbury County,462,102425,0.787878788,0.212121212,1,62.2,0,0.906330826
Iowa Worth,Iowa,Worth County,114,7560,0.868421053,0.131578947,0,45.4,0,0.906330826
Iowa Wrigh,Iowa,Wright County,192,12890,0.729166667,0.270833333,0,69.4,0,0.906330826
Kansas Allen,Kansas,Allen County,228,12950,0.872807018,0.127192982,0,27.1,0,0.883778315
Kansas Ander,Kansas,Anderson County,143,7860,0.965034965,0.034965035,0,39.3,0,0.883778315
Kansas Atchi,Kansas,Atchison County,201,16555,0.885572139,0.114427861,0,34,0,0.883778315
Kansas Barbe,Kansas,Barber County,240,4830,0.991666667,0.008333333,0,32.9,0,0.883778315
Kansas Barto,Kansas,Barton County,447,27215,0.995525727,0.004474273,0,83.4,0,0.883778315
Kansas Bourb,Kansas,Bourbon County,204,14750,0.848039216,0.151960784,0,42.1,0,0.883778315
Kansas Brown,Kansas,Brown County,257,9810,0.945525292,0.054474708,0,57.5,0,0.883778315
Kansas Butle,Kansas,Butler County,590,66265,0.933898305,0.066101695,0,91.9,0,0.883778315
Kansas Chase,Kansas,Chase County,186,2695,0.946236559,0.053763441,0,56,30.4,0.883778315
Kansas Chaut,Kansas,Chautauqua County,133,3470,0.902255639,0.097744361,0,,,0.883778315
Kansas Chero,Kansas,Cherokee County,309,20735,0.928802589,0.071197411,0,71.3,0,0.883778315
Kansas Cheye,Kansas,Cheyenne County,100,2680,0.91,0.09,0,21.4,0,0.883778315
Kansas Clark,Kansas,Clark County,105,2130,0.971428571,0.028571429,0,9.9,0,0.883778315
Kansas Cloud,Kansas,Cloud County,316,9300,0.949367089,0.050632911,0,65.1,0,0.883778315
Kansas Coffe,Kansas,Coffey County,304,8435,0.983552632,0.016447368,0,31.6,0,0.883778315
Kansas Coman,Kansas,Comanche County,111,1900,1,0,0,,,0.883778315
Kansas Cowle,Kansas,Cowley County,337,35975,0.949554896,0.050445104,0,88.7,0,0.883778315
Kansas Crawf,Kansas,Crawford County,294,39280,0.918367347,0.081632653,0,61,0,0.883778315
Kansas Decat,Kansas,Decatur County,162,2885,0.913580247,0.086419753,0,56,0,0.883778315
Kansas Dicki,Kansas,Dickinson County,379,19385,0.941952507,0.058047493,0,96.6,5.7,0.883778315
Kansas Donip,Kansas,Doniphan County,127,7795,0.913385827,0.086614173,0,0.7,0,0.883778315
Kansas Dougl,Kansas,Douglas County,298,116350,1,0,0,29.5,21.3,0.883778315
Kansas Edwar,Kansas,Edwards County,68,2975,0.970588235,0.029411765,0,30.3,30.3,0.883778315
Kansas Ellis,Kansas,Ellis County,280,29030,0.978571429,0.021428571,1,31.5,0,0.883778315
Kansas Ellsw,Kansas,Ellsworth County,253,6375,0.992094862,0.007905138,0,35.4,0,0.883778315
Kansas Finne,Kansas,Finney County,78,36985,1,0,1,61.5,25.7,0.883778315
Kansas Frank,Kansas,Franklin County,328,25665,0.969512195,0.030487805,0,32,0,0.883778315
Kansas Geary,Kansas,Geary County,144,36820,0.944444444,0.055555556,0,15.7,0,0.883778315
Kansas Graha,Kansas,Graham County,143,2575,0.916083916,0.083916084,0,,,0.883778315
Kansas Grant,Kansas,Grant County,16,7750,1,0,0,28.3,0,0.883778315
Kansas Greel,Kansas,Greeley County,33,1235,1,0,0,25.9,0,0.883778315
Kansas Green,Kansas,Greenwood County,237,6305,0.831223629,0.168776371,0,,,0.883778315
Kansas Hamil,Kansas,Hamilton County,66,2565,0.984848485,0.015151515,0,28.4,28.4,0.883778315
Kansas Harpe,Kansas,Harper County,386,5800,0.935233161,0.064766839,0,41.8,0,0.883778315
Kansas Harve,Kansas,Harvey County,372,34815,0.919354839,0.080645161,0,62.6,33.9,0.883778315
Kansas Haske,Kansas,Haskell County,17,4085,1,0,0,33.1,0,0.883778315
Kansas Hodge,Kansas,Hodgeman County,110,1920,0.990909091,0.009090909,0,8.7,0,0.883778315
Kansas Jacks,Kansas,Jackson County,244,13365,0.967213115,0.032786885,0,7.8,0,0.883778315
Kansas Jeffe,Kansas,Jefferson County,189,18880,0.931216931,0.068783069,0,21.5,0,0.883778315
Kansas Jewel,Kansas,Jewell County,333,3005,0.876876877,0.123123123,0,46.8,0,0.883778315
Kansas Johns,Kansas,Johnson County,751,572430,0.99334221,0.00665779,0,87.1,17.9,0.883778315
Kansas Kearn,Kansas,Kearny County,74,3945,1,0,0,26.3,26.3,0.883778315
Kansas Kingm,Kansas,Kingman County,392,7695,0.977040816,0.022959184,0,91.2,0,0.883778315
